plot_order,LAT,LON,H_LI, FILLED
1,-66.16994,-61.95408,140.37517,140.37517
2,-66.16976,-61.95403,140.688,140.688
3,-66.16959,-61.95398,140.99921,140.99921
4,-66.16941,-61.95393,141.33943,141.33943
5,-66.16923,-61.95388,141.66843,141.66843
6,-66.16905,-61.95383,141.9653,141.9653
7,-66.16888,-61.95378,142.24835,142.24835
8,-66.1687,-61.95373,142.52257,142.52257
9,-66.16852,-61.95368,142.82207,142.82207
10,-66.16834,-61.95363,143.13643,143.13643
11,-66.16817,-61.95358,143.44139,143.44139
12,-66.16799,-61.95353,143.69647,143.69647
13,-66.16781,-61.95348,143.96635,143.96635
14,-66.16763,-61.95343,144.27344,144.27344
15,-66.16746,-61.95338,144.56857,144.56857
16,-66.16728,-61.95333,144.8244,144.8244
17,-66.1671,-61.95329,145.07478,145.07478
18,-66.16692,-61.95324,145.31332,145.31332
19,-66.16675,-61.95319,145.58261,145.58261
20,-66.16657,-61.95314,145.86224,145.86224
21,-66.16639,-61.95309,146.11577,146.11577
22,-66.16621,-61.95304,146.37968,146.37968
23,-66.16604,-61.95299,146.63503,146.63503
24,-66.16586,-61.95294,146.86572,146.86572
25,-66.16568,-61.95289,147.07855,147.07855
26,-66.1655,-61.95284,147.28033,147.28033
27,-66.16533,-61.95279,147.47293,147.47293
28,-66.16515,-61.95273,147.64905,147.64905
29,-66.16497,-61.95268,147.85846,147.85846
30,-66.16479,-61.95263,148.08038,148.08038
31,-66.16462,-61.95258,148.2682,148.2682
32,-66.16444,-61.95253,148.44646,148.44646
33,-66.16426,-61.95248,148.59494,148.59494
34,-66.16408,-61.95243,148.73248,148.73248
35,-66.16391,-61.95238,148.90749,148.90749
36,-66.16373,-61.95233,149.08153,149.08153
37,-66.16355,-61.95228,149.24258,149.24258
38,-66.16337,-61.95223,149.38741,149.38741
39,-66.1632,-61.95219,149.50807,149.50807
40,-66.16302,-61.95214,149.6425,149.6425
41,-66.16284,-61.95209,149.76308,149.76308
42,-66.16266,-61.95204,149.85246,149.85246
43,-66.16249,-61.95199,149.96002,149.96002
44,-66.16231,-61.95194,150.05208,150.05208
45,-66.16213,-61.95189,150.12878,150.12878
46,-66.16195,-61.95183,150.22926,150.22926
47,-66.16178,-61.95178,150.30811,150.30811
48,-66.1616,-61.95173,150.37193,150.37193
49,-66.16142,-61.95168,150.43369,150.43369
50,-66.16124,-61.95163,150.49231,150.49231
51,-66.16107,-61.95158,150.5679,150.5679
52,-66.16089,-61.95153,150.64919,150.64919
53,-66.16071,-61.95148,150.70695,150.70695
54,-66.16053,-61.95143,150.7253,150.7253
55,-66.16036,-61.95138,150.73445,150.73445
56,-66.16018,-61.95133,150.74196,150.74196
57,-66.16,-61.95128,150.73187,150.73187
58,-66.15983,-61.95123,150.7057,150.7057
59,-66.15965,-61.95118,150.68983,150.68983
60,-66.15947,-61.95112,150.66769,150.66769
61,-66.15929,-61.95107,150.6391,150.6391
62,-66.15912,-61.95102,150.63408,150.63408
63,-66.15894,-61.95097,150.6183,150.6183
64,-66.15876,-61.95092,150.58521,150.58521
65,-66.15858,-61.95088,150.54514,150.54514
66,-66.15841,-61.95083,150.49181,150.49181
67,-66.15823,-61.95078,150.42146,150.42146
68,-66.15805,-61.95073,150.31898,150.31898
69,-66.15787,-61.95069,150.24648,150.24648
70,-66.1577,-61.95064,150.18295,150.18295
71,-66.15752,-61.95058,150.08528,150.08528
72,-66.15734,-61.95053,149.97852,149.97852
73,-66.15716,-61.95048,149.8537,149.8537
74,-66.15699,-61.95043,149.74901,149.74901
75,-66.15681,-61.95037,149.62981,149.62981
76,-66.15663,-61.95032,149.45219,149.45219
77,-66.15645,-61.95027,149.26013,149.26013
78,-66.15628,-61.95022,149.11856,149.11856
79,-66.1561,-61.95017,148.95203,148.95203
80,-66.15592,-61.95012,148.77223,148.77223
81,-66.15574,-61.95008,148.61353,148.61353
82,-66.15557,-61.95003,148.45,148.45
83,-66.15539,-61.94998,148.261,148.261
84,-66.15521,-61.94993,148.04825,148.04825
85,-66.15503,-61.94988,147.87251,147.87251
86,-66.15486,-61.94983,147.67793,147.67793
87,-66.15468,-61.94978,147.43797,147.43797
88,-66.1545,-61.94973,147.2157,147.2157
